siteID,Lake_name,code,lake_or_reservoir,location,region,latitude,longitude,elevation_m,mean_depth_m,max_depth_m,surface_area_km2,volume_km3,source,sampling_depth,time_period,human_impacts,contributor
50,Burragorang.4.km.Butchers,is105,Reservoir,Australia,Oceania,-33.88,150.6,116.7,27.1,105,75,2.03,Schultz,0,JFM,,Tracey Schultz Tracey.Schultz@sca.nsw.gov.au
51,Burragorang.500m.S.of.Dam.Wall,is106,Reservoir,Australia,Oceania,-33.88,150.6,116.7,27.1,105,75,2.03,Schultz,0,JFM,, Schultz Tracey.Schultz@sca.nsw.gov.au
52,Burragorang.9.km.S.of.Dam.Wall,,Reservoir,Australia,Oceania,-33.88,150.6,116.7,27.1,105,75,2.03,Schultz,0,JFM,,Tracey Schultz Tracey.Schultz@sca.nsw.gov.au
53,Burragorang.at.Woll.Arm,is107,Reservoir,Australia,Oceania,-33.88,150.6,116.7,27.1,105,75,2.03,Schultz,0,JFM,,Tracey Schultz Tracey.Schultz@sca.nsw.gov.au
54,Buyr,2910,Lake,Mongolia China,Asia,47.82,117.71,597,8.1,11.8,608.5,3.78,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
55,CaboraBassa,420,Reservoir,Mozambique Zimbabwe,Africa,-15.61,32.32,420,20.9,157,4362.6,55.8,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
56,Cannonsville,is78,Reservoir,United States,Eastern North America,42.06,-75.37,350.52,21.3,52.4,19.29,0.39,Samal,1,JAS,,Nihar Samal NSamal@dep.nyc.gov
57,Cardinia,is84,Reservoir,Australia,Oceania,-37.96,145.41,167,22.2,81,12.95,0.28,Haydon,0,JFM,,Shane Haydon shane.haydon@melbournewater.com.au
58,Carlton,is85,Lake,United States,Southeastern North America,28.75,-81.66,19,3.8,5,2,7.60E-03,Havens,0,JAS,,Karl Havens khavens@ufl.edu
59,Caspian.Sea,10,Lake,Kazakhstan Russia Turkmenistan Azerbaijan Iran,Middle East,42.19,50.49,-22,182,1025,378119.3,78200,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
60,Cataract,is108,Reservoir,Australia,Oceania,-34.27,150.8,289.9,11.5,46,8.46,0.09,Schultz,0,JFM,,Tracey Schultz Tracey.Schultz@sca.nsw.gov.au
61,Cha.jihNan.mu.tso..Zhari.Namco,1790,Lake,China ,Asia,30.93,85.49,4743,3.6,5.6,1004.4,3.61,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
62,Chad,140,Lake,Chad Nigeria Niger Cameroon,Africa,13.12,14.45,279,1.5,8,19346.6,6.3,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
63,Chao,2330,Lake,China ,Asia,31.51,117.57,1,3,5,767.5,1.7,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
64,Chapala,1530,Lake,Mexico ,Western North America,20.23,-102.9,1573,7.2,10.5,1127.3,7.9,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
65,Chardarinskoye,2960,Reservoir,Kazakhstan Uzbekistan,Asia,41.14,68.19,236,6.3,26,600.4,5.7,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
66,Chilka,2040,Lake,India ,Asia,19.76,85.4,16,1.4,2.4,884.6,1.23,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
67,Chilwa,2560,Lake,Malawi ,Africa,-15.36,35.72,629,1,2.7,695.7,1.8,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
68,Chiquita,840,Lake,Argentina ,South America,-30.65,-62.49,66,3.5,19,2011.9,5.02,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
69,Chishi,1190,Lake,Zambia ,Africa,-8.66,29.73,945,2,5,1389.9,2.77,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
70,Chocon,2200,Reservoir,Argentina ,South America,-39.52,-69.07,393,24.7,60,811.9,20.15,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
71,Chub,is86,Lake,Canada,Eastern North America,48.74,-91.91,371,8.9,27,0.34,3.06E-03,Rusak,0.1,JAS,,Jim Rusak Jim.Rusak@ontario.ca
72,Claire,1250,Lake,Canada ,Western North America,58.59,-112.08,212,1.2,2,1325.6,1.7,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
73,Clear.Lake,11880,Lake,United States California,Western North America,39.07,-122.84,474,8.2,18,157.5,1.29,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
74,Clearwater,is300,Lake,Canada,Eastern North America,46.37,-81.05,285,8.4,21.5,0.75,6.42E-03,Bailey,0,JAS,,John Bailey jbailey@laurentian.ca
75,Colhue.Huapi,2190,Lake,Argentina ,South America,-45.54,-68.73,251,2,5.5,813.9,1.62,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
76,Cordeaux,is109,Reservoir,Australia,Oceania,-34.34,150.75,303.7,12,52,7.8,0.09,Schultz,0,JFM,,Tracey Schultz Tracey.Schultz@sca.nsw.gov.au
77,Crescent.Lake,is9,Lake,United States Florida,Southeastern North America,29.45,-81.48,1,3,3.84,63,0.18,Havens,0,JAS,forest row crop residential,Karl Havens khavens@ufl.edu
78,Crosson,is87,Lake,Canada,Eastern North America,45.08,-79.03,332,9.2,25,0.56,5.22E-03,Rusak,0.1,JAS, ,Jim Rusak Jim.Rusak@ontario.ca
79,Crystal,is131,Lake,United States,Eastern North America,46,-89.61,250,10.4,20.4,0.36,3.82E-03,NTL LTER,0,JAS,,Jordan Read jread@usgs.gov
80,Dauphin,3510,Lake,Canada ,Western North America,51.18,-99.71,259,2.4,3.4,516.4,1.29,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
81,Dead.Sea,2440,Lake,Jordan West Bank Israel,Middle East,31.45,35.48,-404,145,433,739.4,147,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
82,Denham,is88,Lake,United States,Southeastern North America,28.76,-81.9,20,1.2,1.5,1,1.20E-03,Havens,0,JAS,,Karl Havens khavens@ufl.edu
83,Dickie,is89,Lake,Canada,Eastern North America,45.14,-79.08,354.5,5,12,0.93,4.68E-03,Rusak,0.1,JAS,,Jim Rusak Jim.Rusak@ontario.ca
84,Dora,is10,Lake,United States,Southeastern North America,28.78,-81.68,19,2.9,4,18,0.05,Havens,0,JAS,residential and urban,Karl Havens khavens@ufl.edu
85,Dore,2810,Lake,Canada ,Western North America,54.76,-107.28,459,10.9,20.4,634.4,6.68,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
86,Dubawnt,490,Lake,Canada ,Western North America,63.17,-101.47,235,,65,3628.5,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
87,Edward,690,Lake,Zaire Uganda,Africa,-0.3,29.62,781,34,117,2252.5,39.52,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
88,Erie.B45005,121,Lake,Canada United States,Eastern North America,41.67,-82.39,174,19,64,25691,458,Austin/Schneider,0,JAS,,Jay Austin jaustin@d.umn.edu; Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
89,Erie.Center,120,Lake,Canada United States,Eastern North America,42.24,-81.14,174,19,64,25691,458,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
90,Erken,is11,Lake,Sweden,Europe,59.84,18.58,11.1,9,20.65,23.7,0.21,Weyhenmeyer,1,JAS,no,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
91,Eustis,is12,Lake,United States,Southeastern North America,28.83,-81.71,19,3.4,19,28,0.09,Havens,0,JAS,dense residential shoreline development,Karl Havens khavens@ufl.edu
92,Eyasi,1560,Lake,Tanzania ,Africa,-3.58,35.13,1023,1,1,1113,1.11,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
93,Feeagh,is13,Lake,Ireland,Europe,53.92,-9.57,20,14.5,45,3.92,0.05,de Eyoto,0,JAS,,Elvira de Eyto elvira.deeyto@marine.ie
94,Fiolen,is14,Lake,Sweden,Europe,57.09,14.52,226,3.8,10.5,1.63,6.21E-03,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
95,Fish,is132,Lake,United States,Eastern North America,43.28,-89.65,259.69,6.6,18.9,0.87,5.77E-03,NTL LTER,0,JAS,,Jordan Read jread@usgs.gov
96,Fitzroy,is110,Reservoir,Australia,Oceania,-34.65,150.49,663.5,4.8,10,4.82,0.02,Schultz,0,JFM,,Tracey Schultz Tracey.Schultz@sca.nsw.gov.au
97,Fracksjon,is15,Lake,Sweden,Europe,58.14,12.18,58,6,14.5,0.27,1.62E-03,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
98,Gaoyou,2870,Lake,China ,Asia,32.83,119.34,1,1.4,2.4,622.5,0.87,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
99,Garda,5050,Lake,Italy,Europe,45.53,10.64,65,133,350,368,49,Salmaso,0,JAS,Eutrophication,Nico Salmaso nico.salmaso@fmach.it
100,Geneva,3270,Lake,Switzerland France,Europe,46.46,6.58,372.05,152.7,309.7,580.1,88.9,Anneville,0,JAS,Re-oligotrophication,Orlane Anneville orlane.anneville@thonon.inra.fr
101,George,is91,Lake,United State,Southeastern North America,29.28,-81.58,1,2.5,3.35,186,0.46,Havens,0,JAS, ,Karl Havens khavens@ufl.edu
102,Giles,is92,Lake,United States,Eastern North America,41.37,-75.09,439,5.2,13,0.21,1.10E-03,Williamson,0,JAS,,Craig Williamson craig.williamson@miamiOH.edu
103,Gorkovskoye,1930,Reservoir,Russia ,Europe,57.21,43.1,87,5.5,22,936.8,8.82,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
104,Great.Bear,90,Lake,Canada ,Western North America,66,-120.32,157,71.6,446,30530.1,2236,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
105,Great.Salt.Lake,260,Lake,United States ,Western North America,41.02,-112.42,1275,4,10,5965.8,18.92,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
106,Great.Slave,110,Lake,Canada ,Western North America,61.35,-114.79,158,41,614,27816.3,1580,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
107,Greenvale,is93,Reservoir,Australia,Oceania,-37.63,144.9,167.2,15.4,39,1.74,0.02,Haydon,0,JFM,,Shane Haydon shane.haydon@melbournewater.com.au
108,Greifensee,is16,Lake,Switzerland,Europe,47.35,8.67,435,17.8,32,8.49,0.15,Livingstone,0,JAS,Hypertrophic. Boating.,David Livingstone living@eawag.ch
109,Griffin,is94,Lake,United States,Southeastern North America,28.86,-81.84,18.3,2.4,6.1,38.1,0.09,Havens,0,JAS, ,Karl Havens khavens@ufl.edu
110,Gyaring,3360,Lake,China ,Asia,34.92,97.29,4256,8.9,13.1,533.9,46.7,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
111,Hannah,is301,Lake,Canada,Eastern North America,46.44,-81.03,285,4,8.5,0.27,1.08E-03,Bailey,0,JAS,,John Bailey jbailey@laurentian.ca
112,Happy.Valley.Reservoir,is95,Reservoir,Australia,Oceania,-35.07,138.57,145.3,6.51,20.16,1.78,0.01,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
113,Har,2940,Lake,Mongolia ,Asia,48.05,93.15,1160,4.14,7,601.3,2.42,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
114,Har.Hala,3020,Lake,China ,Asia,38.3,97.56,4239,,65,594.9,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
115,Harney,is96,Lake,United States,Southeastern North America,28.75,-81.05,1,2.1,3.4,23,0.04,Havens,0,JAS,,Karl Havens khavens@ufl.edu
116,Harp,is97,Lake,Canada,Eastern North America,45.38,-79.13,327,13.3,37.5,0.71,9.49E-03,Rusak,0.1,JAS,,Jim Rusak Jim.Rusak@ontario.ca
117,Harris,is98,Lake,United States,Southeastern North America,28.77,-81.81,19,3.5,4.3,75,0.15,Havens,0,JAS,residential and urban some row-crop agriculture minor wetland,Karl Havens khavens@ufl.edu
118,Harus,1420,Lake,Mongolia ,Asia,47.95,92.15,1191,2.1,4.5,1193.5,3.12,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
119,Heney,is99,Lake,Canada,Eastern North America,45.12,-79.1,345.5,3.3,5.8,0.21,7.05E-04,Rusak,0.1,JAS,,Jim Rusak Jim.Rusak@ontario.ca
120,Hongze,1090,Lake,China ,Asia,33.29,118.73,3,8,,1524.9,25,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
121,Hope.Valley.Reservoir,is100,Reservoir,Australia,Oceania,-34.85,138.68,103.4,5.46,13.34,0.52,2.80E-03,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
122,HovsGol,590,Lake,Mongolia ,Asia,51.21,100.53,1640,138,267,2741.4,381,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
123,Hulun,750,Lake,China ,Asia,48.83,117.25,539,5,7,2166.5,13.13,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
124,Huron.B45003,51,Lake,Canada United States,Eastern North America,45.35,-82.84,176,53,228,59756.5,3535,Austin/Schneider,0,JAS,,Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no
125,Huron.B45008,52,Lake,Canada United States,Eastern North America,44.28,-82.41,176,53,228,59756.5,3535,Austin/Schneider,0,JAS,,Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no
126,Huron.Center,50,Lake,Canada United States,Eastern North America,44.75,-82.33,176,53,228,59756.5,3535,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
127,Hyargas,1210,Lake,Mongolia ,Asia,49.2,93.25,1027,20,80,1362.7,75.2,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
128,Iliamna.Lake,620,Lake,United States ,Western North America,59.47,-155.6,35,442.2,299,2623.2,1160,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
129,IlMen,1920,Reservoir,Russia ,Europe,58.25,31.21,15,3.4,10,982,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
130,Inari,is17,Lake,Finland,Europe,68.85,28.28,120,14,92,1110,15.1,Kuusisto,0,JAS,No,Esko Kuusisto esko.kuusisto@ymparisto.fi
131,Issyk.kul,250,Lake,Kyrgyzstan ,Asia,42.42,77.31,1619,270,668,6258.9,1689.9,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
132,Itaparica,190,Reservoir,Brazil ,South America,-9.71,-41.73,417,18,101,8779.1,10.7,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
133,Izabal,2450,Lake,Guatemala ,South America,15.49,-89.14,47,12.62,18,673.29,8.5,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
134,Jesup,is18,lake,United States Florida,Southeastern North America,28.7,-81.23,1,1.27,3.4,45.06,0.05,Havens,0,JAS,wetland forest residential row crop pasture,Karl Havens khavens@ufl.edu
135,Kainji,1160,Reservoir,Nigeria ,Africa,10.4,4.56,96,10.6,12.1,1414,15,Satellite,skin,JFM, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
136,Kallavesi,is19,Lake,Finland,Europe,62.9,27.73,82,9,90,898,7.99,Kuusisto,0,JAS,No,Esko Kuusisto esko.kuusisto@ymparisto.fi
137,Kangaroo.Creek.Reservoir,is101,Reservoir,Australia,Oceania,-34.86,138.79,237.5,18.6,47.38,1.03,0.01,Brookes,0,JFM,,Justin Brookes justin.brookes@adelaide.edu.au
138,KapchagayskoyeVodo,1310,Reservoir,Kazakhstan ,Asia,43.84,77.41,462,22.07,,1273,28.1,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
